"Job"                ,"Clocked In"      ,"Clocked Out"     ,"Duration","Hourly Rate","Earnings","Comment","Tags"  ,"Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"DPG Online Services","02/06/2020 09:12","02/06/2020 18:19","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","03/06/2020 09:30","03/06/2020 18:35","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","04/06/2020 07:26","04/06/2020 17:36","10"      ,"78,63"      ,"786,3"   ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","05/06/2020 08:50","05/06/2020 17:26","8,5"     ,"78,63"      ,"668,35"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","08/06/2020 08:03","08/06/2020 17:38","9,5"     ,"78,63"      ,"746,98"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","09/06/2020 08:38","09/06/2020 17:55","9,5"     ,"78,63"      ,"746,98"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","10/06/2020 09:33","10/06/2020 17:55","8,5"     ,"78,63"      ,"668,35"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","11/06/2020 08:20","11/06/2020 18:48","10,5"    ,"78,63"      ,"825,61"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","12/06/2020 08:47","12/06/2020 17:03","8,5"     ,"78,63"      ,"668,35"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","15/06/2020 09:10","15/06/2020 18:30","9,5"     ,"78,63"      ,"746,98"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","16/06/2020 08:06","16/06/2020 17:07","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","17/06/2020 09:30","17/06/2020 18:40","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","18/06/2020 08:12","18/06/2020 14:10","6"       ,"78,63"      ,"471,78"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","19/06/2020 09:16","19/06/2020 14:30","5"       ,"78,63"      ,"393,15"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","22/06/2020 08:33","22/06/2020 17:31","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","23/06/2020 08:33","23/06/2020 18:32","10"      ,"78,63"      ,"786,3"   ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","24/06/2020 08:45","24/06/2020 18:18","9,5"     ,"78,63"      ,"746,98"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","25/06/2020 08:11","25/06/2020 17:25","9"       ,"78,63"      ,"707,67"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","26/06/2020 08:59","26/06/2020 14:25","5,5"     ,"78,63"      ,"432,46"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","29/06/2020 08:19","29/06/2020 16:00","7,5"     ,"78,63"      ,"589,72"  ,""       ,"REC011",""      ,""           ,""                   ,""
"DPG Online Services","30/06/2020 08:19","30/06/2020 17:53","9,5"     ,"78,63"      ,"746,98"  ,""       ,"REC011",""      ,""           ,""                   ,""
